applicant_id,annual_income,loan_amount,credit_score,employment_type,loan_purpose,debt_to_income,credit_utilization,repayment_history_score,num_late_payments,default_actual,default_probability,credit_risk_score,risk_band,decision
APP042717,120000.0,121043.0,570,salaried,education,1.0087,0.3956,86.5,2,0,0.0295,882,Very Low,Auto-Approve
APP039611,120000.0,371475.0,521,salaried,home_loan,3.0956,0.3212,96.05,0,1,0.916,350,Very High,Decline
APP011342,187685.0,657807.0,804,business_owner,home_loan,3.5048,0.1439,100.0,1,0,0.062,863,Very Low,Auto-Approve
APP029373,120000.0,32336.0,734,salaried,home_loan,0.2695,0.322,100.0,1,0,0.0014,899,Very Low,Auto-Approve
APP030139,204654.0,436200.0,729,salaried,auto_loan,2.1314,0.2228,76.45,3,0,0.0518,869,Very Low,Auto-Approve
APP002486,120000.0,56769.0,467,salaried,personal_loan,0.4731,0.5007,87.35,1,0,0.2927,724,Medium,Manual Review
APP026791,120000.0,430507.0,722,self_employed,personal_loan,3.5876,0.202,100.0,0,1,0.1822,791,Low,Approve
APP038544,120000.0,246440.0,844,salaried,personal_loan,2.0537,0.1945,100.0,0,0,0.0009,899,Very Low,Auto-Approve
APP046711,134601.0,626284.0,470,salaried,home_loan,4.6529,0.0978,75.5,1,1,0.9884,307,Very High,Decline
APP026504,158595.0,391886.0,542,salaried,home_loan,2.471,0.4111,97.1,0,0,0.3375,697,Medium,Manual Review
APP007717,154332.0,744045.0,804,self_employed,personal_loan,4.8211,0.1709,100.0,1,0,0.0723,857,Very Low,Auto-Approve
APP022967,120000.0,183039.0,880,business_owner,personal_loan,1.5253,0.2327,90.0,2,0,0.0127,892,Very Low,Auto-Approve
APP009513,120000.0,323113.0,699,business_owner,home_loan,2.6926,0.2536,92.95,2,0,0.0271,884,Very Low,Auto-Approve
APP004508,120000.0,569931.0,505,salaried,auto_loan,4.7494,0.4254,77.25,3,1,0.9907,306,Very High,Decline
APP023432,163213.0,68502.0,581,business_owner,education,0.4197,0.1145,99.05,0,0,0.0054,897,Very Low,Auto-Approve
APP033510,120000.0,517685.0,605,self_employed,home_loan,4.314,0.2463,100.0,0,1,0.8301,402,Very High,Decline
APP006031,120000.0,501089.0,622,freelance,education,4.1757,0.2448,100.0,0,1,0.5879,547,High,Decline
APP006385,267834.0,996624.0,641,self_employed,business,3.7211,0.1145,84.05,3,1,0.8514,389,Very High,Decline
APP041656,120000.0,127457.0,742,self_employed,business,1.0621,0.3235,100.0,1,0,0.006,896,Very Low,Auto-Approve
APP048345,120000.0,533908.0,311,salaried,home_loan,4.4492,0.2411,85.55,0,1,0.9452,333,Very High,Decline
APP026556,165029.0,260775.0,530,self_employed,auto_loan,1.5802,0.5286,78.5,1,1,0.907,356,Very High,Decline
APP027386,120000.0,109875.0,752,self_employed,auto_loan,0.9156,0.2374,100.0,0,0,0.0069,896,Very Low,Auto-Approve
APP049769,204578.0,265537.0,850,self_employed,auto_loan,1.298,0.3133,100.0,0,0,0.0023,899,Very Low,Auto-Approve
APP042659,120000.0,137703.0,891,business_owner,personal_loan,1.1475,0.2409,100.0,0,0,0.0009,899,Very Low,Auto-Approve
APP048875,120000.0,561800.0,441,self_employed,education,4.6817,0.2349,86.05,1,1,0.9563,326,Very High,Decline
APP006232,120000.0,171646.0,641,self_employed,education,1.4304,0.4919,100.0,0,0,0.015,891,Very Low,Auto-Approve
APP042581,132189.0,289733.0,511,self_employed,business,2.1918,0.2178,95.55,0,1,0.4611,623,High,Decline
APP011985,357431.0,1546441.0,852,self_employed,auto_loan,4.3265,0.373,88.6,0,1,0.5983,541,High,Decline
APP018038,162274.0,638451.0,480,salaried,auto_loan,3.9344,0.4874,88.0,1,1,0.9534,328,Very High,Decline
APP013673,120000.0,508246.0,417,salaried,personal_loan,4.2354,0.4573,54.85,0,1,0.9952,303,Very High,Decline
APP009714,166394.0,639786.0,356,business_owner,personal_loan,3.845,0.2073,81.8,1,1,0.9031,358,Very High,Decline
APP036667,120000.0,333379.0,740,business_owner,personal_loan,2.7782,0.25,100.0,0,0,0.0088,895,Very Low,Auto-Approve
APP042419,163190.0,263255.0,817,self_employed,personal_loan,1.6132,0.2418,100.0,0,0,0.0024,899,Very Low,Auto-Approve
APP010362,261307.0,617384.0,438,salaried,personal_loan,2.3627,0.1106,85.9,1,1,0.6406,516,High,Decline
APP037866,120000.0,161430.0,875,business_owner,personal_loan,1.3453,0.5414,100.0,0,0,0.0037,898,Very Low,Auto-Approve
APP043611,146800.0,666167.0,552,salaried,business,4.5379,0.4714,91.6,1,0,0.6745,495,Very High,Decline
APP002192,120000.0,477717.0,891,business_owner,personal_loan,3.981,0.4969,100.0,0,0,0.0407,876,Very Low,Auto-Approve
APP039697,137471.0,448855.0,634,salaried,personal_loan,3.2651,0.1722,95.7,1,1,0.3759,674,Medium,Manual Review
APP044522,120000.0,288332.0,846,salaried,auto_loan,2.4028,0.3488,76.3,0,0,0.0768,854,Very Low,Auto-Approve
APP020855,333941.0,911252.0,677,salaried,home_loan,2.7288,0.0789,91.85,0,0,0.0206,888,Very Low,Auto-Approve
APP003489,179401.0,476800.0,887,salaried,home_loan,2.6577,0.2532,100.0,1,0,0.0078,895,Very Low,Auto-Approve
APP027895,149572.0,134718.0,500,self_employed,education,0.9007,0.3609,83.0,2,0,0.5764,554,High,Decline
APP036512,126147.0,353859.0,609,salaried,education,2.8051,0.5598,100.0,0,0,0.1891,787,Low,Approve
APP025111,120000.0,50714.0,669,salaried,personal_loan,0.4226,0.3848,85.45,1,0,0.0072,896,Very Low,Auto-Approve
APP020026,120000.0,318270.0,577,business_owner,home_loan,2.6523,0.4266,80.85,1,0,0.1182,829,Low,Approve
APP004325,215309.0,601219.0,896,salaried,home_loan,2.7924,0.3711,100.0,2,0,0.006,896,Very Low,Auto-Approve
APP002533,120000.0,226311.0,662,salaried,education,1.8859,0.2796,100.0,0,0,0.0123,893,Very Low,Auto-Approve
APP017459,284151.0,1411093.0,552,salaried,auto_loan,4.966,0.429,85.6,0,1,0.9058,356,Very High,Decline
APP007233,144216.0,404708.0,398,self_employed,auto_loan,2.8063,0.4636,77.9,2,1,0.8603,384,Very High,Decline
APP002649,120000.0,537949.0,697,self_employed,home_loan,4.4829,0.1965,74.85,3,1,0.7741,436,Very High,Decline
APP040587,120000.0,240060.0,545,salaried,auto_loan,2.0005,0.3632,91.25,1,0,0.3943,663,Medium,Manual Review
APP031318,123792.0,275243.0,566,freelance,personal_loan,2.2234,0.2527,86.3,2,0,0.3635,682,Medium,Manual Review
APP036267,120000.0,573131.0,878,self_employed,personal_loan,4.7761,0.2498,95.9,1,0,0.0585,865,Very Low,Auto-Approve
APP025235,120000.0,401407.0,497,business_owner,personal_loan,3.3451,0.5643,88.85,1,1,0.9776,313,Very High,Decline
APP041923,120000.0,358790.0,479,salaried,personal_loan,2.9899,0.3373,69.95,2,1,0.8969,362,Very High,Decline
APP005920,176696.0,752400.0,587,salaried,personal_loan,4.2582,0.1855,81.35,1,1,0.8193,408,Very High,Decline
APP017170,120000.0,162317.0,400,business_owner,auto_loan,1.3526,0.2857,84.0,1,0,0.1931,784,Low,Approve
APP009131,120000.0,428714.0,619,salaried,auto_loan,3.5726,0.0904,100.0,0,1,0.8121,413,Very High,Decline
APP045743,120000.0,406257.0,671,salaried,personal_loan,3.3855,0.1581,100.0,0,0,0.1466,812,Low,Approve
APP035872,120000.0,432160.0,587,self_employed,business,3.6013,0.1818,57.35,1,1,0.9789,313,Very High,Decline
APP027103,120000.0,31926.0,565,self_employed,home_loan,0.2661,0.165,86.25,2,0,0.0599,864,Very Low,Auto-Approve
APP006458,120000.0,34279.0,731,salaried,auto_loan,0.2857,0.4065,100.0,1,0,0.0018,899,Very Low,Auto-Approve
APP020431,120000.0,192945.0,677,freelance,business,1.6079,0.2034,85.85,1,0,0.0303,882,Very Low,Auto-Approve
APP049124,120000.0,210848.0,895,freelance,personal_loan,1.7571,0.1188,100.0,1,0,0.0023,899,Very Low,Auto-Approve
APP044672,245372.0,462907.0,588,self_employed,education,1.8866,0.188,99.4,0,0,0.0498,870,Very Low,Auto-Approve
APP038683,145228.0,232438.0,328,salaried,education,1.6005,0.2332,86.4,0,0,0.3678,679,Medium,Manual Review
APP010102,120000.0,386840.0,650,salaried,education,3.2237,0.3062,84.5,1,0,0.7784,433,Very High,Decline
APP035826,169234.0,375723.0,489,salaried,personal_loan,2.2201,0.1998,82.45,2,0,0.3431,694,Medium,Manual Review
APP008927,185258.0,135321.0,511,self_employed,business,0.7304,0.2304,89.55,1,1,0.0941,844,Very Low,Auto-Approve
APP008807,120000.0,416493.0,549,business_owner,auto_loan,3.4708,0.1928,97.45,0,1,0.6978,481,Very High,Decline
APP044543,120000.0,270060.0,465,self_employed,home_loan,2.2505,0.2894,93.25,0,1,0.3179,709,Medium,Manual Review
APP047888,120000.0,522997.0,316,self_employed,personal_loan,4.3583,0.4711,79.8,1,1,0.9786,313,Very High,Decline
APP040370,120000.0,530131.0,827,salaried,personal_loan,4.4178,0.2206,87.35,0,1,0.5903,546,High,Decline
APP034304,120000.0,320206.0,831,business_owner,personal_loan,2.6684,0.3863,100.0,0,0,0.0044,897,Very Low,Auto-Approve
APP009033,248779.0,337918.0,459,business_owner,personal_loan,1.3583,0.3743,92.95,0,0,0.2954,723,Medium,Manual Review
APP008590,120000.0,400966.0,693,salaried,personal_loan,3.3414,0.3666,92.65,2,1,0.3865,668,Medium,Manual Review
APP019398,154566.0,718189.0,473,self_employed,business,4.6465,0.4008,81.65,2,1,0.9882,307,Very High,Decline
APP043226,120000.0,261544.0,575,salaried,home_loan,2.1795,0.2685,98.75,0,0,0.02,888,Very Low,Auto-Approve
APP000843,120000.0,410419.0,744,salaried,business,3.4202,0.285,83.2,2,0,0.565,561,High,Decline
APP018694,120000.0,428671.0,626,business_owner,personal_loan,3.5723,0.2941,100.0,0,1,0.4751,615,High,Decline
APP003485,120000.0,369266.0,892,salaried,personal_loan,3.0772,0.5878,100.0,0,0,0.3224,707,Medium,Manual Review
APP035900,137602.0,260047.0,836,salaried,business,1.8899,0.4633,100.0,1,0,0.0008,900,Very Low,Auto-Approve
APP005051,180816.0,465524.0,692,salaried,home_loan,2.5746,0.3959,100.0,0,0,0.021,887,Very Low,Auto-Approve
APP048271,120000.0,566032.0,586,salaried,personal_loan,4.7169,0.4024,93.3,1,1,0.5684,559,High,Decline
APP015659,149255.0,47617.0,540,salaried,auto_loan,0.319,0.2127,97.0,0,0,0.1353,819,Low,Approve
APP030851,132695.0,184830.0,334,salaried,personal_loan,1.3929,0.4982,86.7,0,0,0.2251,765,Low,Approve
APP034940,133156.0,161258.0,507,salaried,home_loan,1.211,0.2013,77.35,3,1,0.8356,399,Very High,Decline
APP045115,120000.0,184333.0,758,business_owner,personal_loan,1.5361,0.3447,83.9,2,0,0.0031,898,Very Low,Auto-Approve
APP016920,120000.0,53167.0,554,business_owner,home_loan,0.4431,0.1758,91.7,1,0,0.0156,891,Very Low,Auto-Approve
APP041606,120000.0,544081.0,739,self_employed,personal_loan,4.534,0.2608,100.0,1,0,0.255,747,Medium,Manual Review
APP021994,142606.0,405797.0,673,self_employed,home_loan,2.8456,0.0468,85.65,3,0,0.1184,829,Low,Approve
APP025671,120000.0,87324.0,567,salaried,home_loan,0.7277,0.2871,92.35,1,0,0.0056,897,Very Low,Auto-Approve
APP039983,120000.0,234152.0,577,salaried,personal_loan,1.9513,0.1373,74.85,0,0,0.5264,584,High,Decline
APP048768,132918.0,352552.0,778,salaried,home_loan,2.6524,0.3292,96.9,2,0,0.0077,895,Very Low,Auto-Approve
APP036764,375978.0,675355.0,686,business_owner,personal_loan,1.7963,0.3913,92.3,2,0,0.0243,885,Very Low,Auto-Approve
APP038027,139908.0,240819.0,656,salaried,auto_loan,1.7213,0.3502,90.8,0,0,0.046,872,Very Low,Auto-Approve
APP035429,120000.0,107937.0,588,freelance,personal_loan,0.8995,0.1189,93.4,1,0,0.0133,892,Very Low,Auto-Approve
APP044568,120000.0,230253.0,654,self_employed,personal_loan,1.9188,0.5712,100.0,0,0,0.0771,854,Very Low,Auto-Approve
APP003256,164215.0,741367.0,548,salaried,business,4.5146,0.3882,91.4,1,1,0.9187,349,Very High,Decline
APP009392,120000.0,282874.0,601,self_employed,personal_loan,2.3573,0.2445,94.05,1,0,0.0246,885,Very Low,Auto-Approve
APP036678,132910.0,81332.0,629,salaried,personal_loan,0.6119,0.1472,89.45,0,0,0.0167,890,Very Low,Auto-Approve
APP045344,120000.0,215798.0,592,salaried,personal_loan,1.7983,0.0307,93.6,1,0,0.0073,896,Very Low,Auto-Approve
APP030297,175161.0,686245.0,713,freelance,personal_loan,3.9178,0.1014,100.0,0,1,0.4925,605,High,Decline
APP011238,120000.0,552799.0,490,freelance,business,4.6067,0.3506,82.5,0,1,0.9806,312,Very High,Decline
APP025180,120000.0,113406.0,477,business_owner,personal_loan,0.9451,0.414,87.85,1,0,0.0676,859,Very Low,Auto-Approve
APP046525,248304.0,568160.0,800,salaried,auto_loan,2.2882,0.3287,100.0,1,0,0.0009,899,Very Low,Auto-Approve
APP033367,120000.0,505502.0,600,salaried,personal_loan,4.2125,0.3662,94.0,1,1,0.663,502,Very High,Decline
APP043113,230752.0,252828.0,453,salaried,auto_loan,1.0957,0.087,92.65,0,0,0.1225,826,Low,Approve
APP017704,120000.0,264517.0,338,salaried,business,2.2043,0.1172,80.9,1,0,0.5305,582,High,Decline
APP007853,120000.0,280124.0,850,self_employed,personal_loan,2.3344,0.7103,100.0,0,0,0.007,896,Very Low,Auto-Approve
APP012757,120000.0,331642.0,570,self_employed,auto_loan,2.7637,0.3274,86.5,0,0,0.2905,726,Medium,Manual Review
APP032069,123021.0,196010.0,549,business_owner,personal_loan,1.5933,0.1273,85.45,2,1,0.1624,803,Low,Approve
APP019742,120000.0,336434.0,565,freelance,home_loan,2.8036,0.5613,86.25,0,0,0.5897,546,High,Decline
APP043785,120000.0,234877.0,868,freelance,auto_loan,1.9573,0.2477,100.0,2,0,0.0074,896,Very Low,Auto-Approve
APP004460,125124.0,119607.0,698,business_owner,personal_loan,0.9559,0.1587,98.9,1,0,0.0021,899,Very Low,Auto-Approve
APP046715,136457.0,586068.0,726,business_owner,auto_loan,4.2949,0.1603,100.0,1,1,0.24,756,Low,Approve
APP042501,120000.0,300902.0,759,self_employed,home_loan,2.5075,0.5303,100.0,0,0,0.0074,896,Very Low,Auto-Approve
APP041704,120000.0,163716.0,706,business_owner,personal_loan,1.3643,0.6088,100.0,0,0,0.0339,880,Very Low,Auto-Approve
APP000342,120000.0,77948.0,768,salaried,home_loan,0.6496,0.1342,100.0,0,0,0.0008,900,Very Low,Auto-Approve
APP017664,120000.0,150856.0,348,salaried,auto_loan,1.2571,0.2796,81.4,1,0,0.1105,834,Low,Approve
APP019522,120000.0,383571.0,773,self_employed,education,3.1964,0.3564,100.0,1,0,0.0773,854,Very Low,Auto-Approve
APP046387,120000.0,256220.0,739,self_employed,personal_loan,2.1352,0.0662,100.0,1,0,0.0178,889,Very Low,Auto-Approve
APP048556,120000.0,256317.0,685,salaried,home_loan,2.136,0.2211,100.0,0,0,0.0069,896,Very Low,Auto-Approve
APP042941,120000.0,215447.0,629,self_employed,business,1.7954,0.3882,100.0,0,0,0.0143,891,Very Low,Auto-Approve
APP007750,154016.0,442622.0,481,self_employed,education,2.8739,0.3784,94.05,0,0,0.5348,579,High,Decline
APP010796,157029.0,108466.0,538,salaried,education,0.6907,0.1865,84.9,0,0,0.2003,780,Low,Approve
APP009540,120000.0,260587.0,759,business_owner,auto_loan,2.1716,0.0783,100.0,1,0,0.0031,898,Very Low,Auto-Approve
APP025837,120000.0,523901.0,689,freelance,auto_loan,4.3658,0.1814,92.45,2,1,0.6872,488,Very High,Decline
APP007367,167569.0,407681.0,764,self_employed,home_loan,2.4329,0.3111,100.0,0,0,0.0089,895,Very Low,Auto-Approve
APP000559,129003.0,94676.0,597,self_employed,personal_loan,0.7339,0.1384,99.85,0,0,0.0091,895,Very Low,Auto-Approve
APP009630,156445.0,90711.0,477,salaried,education,0.5798,0.2548,93.85,0,0,0.0857,849,Very Low,Auto-Approve
APP036294,120000.0,271585.0,510,business_owner,personal_loan,2.2632,0.2864,77.5,1,0,0.1729,796,Low,Approve
APP034115,120000.0,359338.0,358,salaried,home_loan,2.9945,0.1447,81.9,1,1,0.7026,478,Very High,Decline
APP010349,120000.0,572941.0,585,salaried,personal_loan,4.7745,0.0469,81.25,1,1,0.7769,434,Very High,Decline
APP019990,120000.0,108248.0,794,salaried,education,0.9021,0.1593,97.7,2,0,0.006,896,Very Low,Auto-Approve
APP005291,120000.0,532342.0,807,self_employed,auto_loan,4.4362,0.1335,100.0,1,0,0.1084,835,Low,Approve
APP021952,483917.0,658490.0,414,freelance,personal_loan,1.3608,0.1715,90.7,0,0,0.3488,691,Medium,Manual Review
APP039536,120000.0,414590.0,736,salaried,education,3.4549,0.4635,100.0,0,1,0.1485,811,Low,Approve
APP024822,301133.0,1182854.0,461,salaried,business,3.928,0.2158,87.05,1,1,0.8926,364,Very High,Decline
APP043964,120000.0,251019.0,330,self_employed,personal_loan,2.0918,0.6219,86.5,0,1,0.8136,412,Very High,Decline
APP016653,200635.0,222786.0,546,salaried,personal_loan,1.1104,0.4047,97.3,0,0,0.1236,826,Low,Approve
APP037185,120000.0,536856.0,742,salaried,auto_loan,4.4738,0.4976,100.0,0,0,0.3075,716,Medium,Manual Review
APP042958,120000.0,496844.0,434,salaried,business,4.1404,0.2106,91.7,0,1,0.9331,340,Very High,Decline
APP039118,120000.0,246049.0,718,self_employed,business,2.0504,0.3235,81.9,2,0,0.1161,830,Low,Approve
APP038504,120000.0,166668.0,463,salaried,home_loan,1.3889,0.3457,87.15,1,0,0.5327,580,High,Decline
APP041526,120000.0,415835.0,311,salaried,personal_loan,3.4653,0.3062,79.55,1,0,0.9363,338,Very High,Decline
APP005524,120000.0,398306.0,560,salaried,education,3.3192,0.1645,92.0,1,1,0.4993,600,High,Decline
APP048477,124727.0,35856.0,850,self_employed,personal_loan,0.2875,0.2758,94.5,1,0,0.0008,900,Very Low,Auto-Approve
APP001524,120000.0,487438.0,344,business_owner,personal_loan,4.062,0.1347,81.2,1,1,0.9563,326,Very High,Decline
APP023011,120000.0,280025.0,623,salaried,auto_loan,2.3335,0.2882,65.15,4,0,0.8069,416,Very High,Decline
APP020391,120000.0,182371.0,585,salaried,auto_loan,1.5198,0.227,99.25,0,0,0.01,894,Very Low,Auto-Approve
APP041829,120000.0,208939.0,858,salaried,personal_loan,1.7412,0.113,100.0,0,0,0.0012,899,Very Low,Auto-Approve
APP049281,120000.0,548068.0,858,salaried,personal_loan,4.5672,0.1089,100.0,1,0,0.0823,851,Very Low,Auto-Approve
APP014752,120000.0,578088.0,629,salaried,education,4.8174,0.2386,100.0,0,1,0.4013,659,Medium,Manual Review
APP008786,185385.0,221183.0,865,salaried,education,1.1931,0.3801,71.25,1,0,0.0229,886,Very Low,Auto-Approve
APP023671,140672.0,132931.0,348,salaried,auto_loan,0.945,0.2239,69.4,3,0,0.5312,581,High,Decline
APP042139,120000.0,371933.0,451,salaried,education,3.0994,0.2647,86.55,1,1,0.9454,333,Very High,Decline
APP022262,120000.0,571517.0,316,salaried,education,4.7626,0.7448,79.8,1,1,0.9814,311,Very High,Decline
APP011766,184186.0,845066.0,472,salaried,auto_loan,4.5881,0.2823,69.6,0,1,0.9945,303,Very High,Decline
APP021351,120000.0,580322.0,494,salaried,personal_loan,4.836,0.2412,70.7,2,1,0.9949,303,Very High,Decline
APP036172,120000.0,568644.0,566,salaried,auto_loan,4.7387,0.2562,98.3,0,0,0.5475,572,High,Decline
APP001034,120000.0,414663.0,843,self_employed,personal_loan,3.4555,0.3139,100.0,1,0,0.0258,885,Very Low,Auto-Approve
APP047447,120000.0,414981.0,745,salaried,auto_loan,3.4582,0.1445,100.0,1,0,0.1693,798,Low,Approve
APP035486,247232.0,497957.0,335,freelance,home_loan,2.0141,0.2009,86.75,0,0,0.6863,488,Very High,Decline
APP030984,151521.0,259724.0,728,salaried,auto_loan,1.7141,0.7377,100.0,1,0,0.0208,888,Very Low,Auto-Approve
APP026958,120000.0,430419.0,342,salaried,personal_loan,3.5868,0.2652,81.1,1,0,0.9238,346,Very High,Decline
